resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,average_temp,average_heartrate,max_heartrate,suffer_score,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,type_bis,weekday,day,week,month,year
2,Marche le soir,7749.9,2822,3547,14.3,Run,Run,0.0,7393639804,2022-06-30T15:43:51Z,2022-06-30 17:43:51+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,10,0,0,1,0,False,False,False,True,only_me,False,g7884744,"[43.570423, 1.380487]","[43.59927, 1.455367]",2.746,11.0,False,False,False,158.6,140.6,7878962368,7878962368,2F43D47E-6901-4468-9F3E-7BF25859AC8C-activity.fit,False,5,0,False,41974409,1,a7393639804,cz|hG_slGUQiAsAeAw@iAaBa@WMMc@iAGg@EMG?SLS?KSKEI]U_@]S_@]{B}DQOWOi@aAMMKWKI]y@i@y@WYICKAOMCK@WCSs@sAMQc@_A_AmAgA_Bu@w@w@cAYWmA_B[i@@?AF@CCC?CHD@AAA?@C@BIAI_@a@cA_B]m@Qc@AEBSCUEKIIO[[cAu@sBGYU]Ki@IYi@iAAIJg@K]EIi@_@e@o@cAkB]a@s@gAwBoCKIQYc@y@m@g@{@wA_B{A}BaBc@_@YQaB}BgAgBMIS[u@a@uAAIAGKAGFQJY^m@NKHKLm@?_@K{@Qi@Ki@Oo@Ga@w@uCsC_LEg@BQXs@@SCUGOIMKIg@OMKKc@sA_FyEgRsBmHEY[y@m@uBIO_@sAUo@k@sB[yA_@uAe@mBM[GECOCg@Qa@[cAEG[QA@Qw@i@_BCYQk@Ms@Wq@Ks@MSEa@IWEa@Y{@UYOe@AQD[AMWwAM[Ga@EKKa@KUGe@M_@Uk@SgAo@{AMq@g@mBe@oBi@yAe@aBGe@}@kCCc@EOEUISa@sA[s@Ee@Oc@CUSu@C[WaAYs@Mi@K]?SKSSu@Io@e@mBEUM]Q{@EICWS]K_@CYQUYgAOSIaAMUI]MYESEGQEIIBXEEWo@AWBoAEY@UCIKQAOMa@O{@@SGa@]aAGc@YWOUUi@CM@]EMGAQAm@QI@ODGEAMGGSCI@CAOyAKm@Ui@[[Ew@M[IKMCc@\I@MCSWEYIOGWCuAIiAIa@UuCOiAKkAYsBGq@@EIk@SYISUY?e@Ii@IUIMI_@Nw@GIWOMMIU?IPkACa@o@oA@WEUBKLUNs@Aa@GUKY@a@Km@Aq@JqB?CSGKUE]Dc@GSEg@EQQ]Oa@Zc@FU?IEQH_@GQ@YAu@GSFMLKDMK]QSIUDOASLc@CWQo@?WHi@Qi@Fa@V]Jk@EQKGIAGGGSDMXm@Ng@CIWe@AE@CRK^MLKVERDDI@KAKOIEK?k@C_AMW?GGMCWBMNOFQPS@IHEMQ?Ib@c@FKRSMO?IFM,2,,,,,,,,,,,Run,Thursday,30,26,6,2022
2,Course à pied en soirée,2536.6,1144,2204,10.0,Run,Run,,7389512889,2022-06-29T16:05:00Z,2022-06-29 18:05:00+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,g7884744,"[43.565891571342945, 1.3806107640266418]","[43.598882742226124, 1.455726195126772]",2.217,4.56,True,False,True,158.0,146.0,7874447523,7874447523,garmin_push_9110805175,False,0,0,False,41974409,1,a7389512889,y}{hGyslGn@wCZaAbBmHp@gBDq@Ji@JM?GEKKIQKEQn@sAHW?IP_@TSVw@BO`@kASSAg@Ps@FKBg@Ac@_@y@Y_@c@uAUQUq@KK{@o@i@i@WMc@_@[Qu@m@QCOKGMOQEMCA_AUUMi@M{@Mo@OUAa@MWE[OQCK?UKgAYeBYm@YOCG@AAM]GIAIDWb@g@Ja@@[Ow@IGSEm@?KFOGOHCAc}D_gIIKKD?CM@EKIG?CBWJOF[LeAD[HQ@QCUOYMs@UIEEMi@Rm@Bc@DSFm@BcABE?a@GcABWCWBWCmBBg@BuAAa@G_@AaBEa@Ay@ReACUDi@^g@H[BaAFe@@S\_C@u@XiAPU,2,67.9,31.0,128.6,165.0,5.0,,,,,,Run,Wednesday,29,26,6,2022
2,Course à pied dans l'après-midi,3933.3,1514,1556,37.0,Run,Run,,7389511520,2022-06-29T11:13:39Z,2022-06-29 13:13:39+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,1,0,0,1,0,False,False,False,True,only_me,False,g7884744,"[43.57184087857604, 1.354417484253645]","[43.566706124693155, 1.3774853199720383]",2.598,4.49,True,False,True,165.0,149.8,7874445988,7874445988,garmin_push_9110803580,False,0,0,False,41974409,1,a7389511520,_c}hGapgGRR\l@l@vALr@N`@B^HR`@vAXn@\`@THL@j@En@STSLWRMPEZEXBRFh@`@LP^nAAR@VPXLZp@r@RJ\VTBj@@nANj@@b@J`@DhAd@h@@RBbBlAbAz@hAp@DA?Ks@kAQYe@e@eA_Be@g@a@{@a@c@i@y@USYa@Ue@_AmAKU[[k@aAcAcAU[Wq@Ya@K[W[uAaBQc@CCSc@ES?WNe@d@aC\s@v@gFZcAlA_Hr@mFh@kB`@eALc@Dm@Ci@Ik@Qg@cBaDQUG[Ye@k@mA_@cAMSQ_@s@o@i@q@[Y_AoA_A_AgB}B_AgBo@eAGOe@aAa@k@QSCOFcAZ_Cb@yBXiBj@gCFMJm@FGFCTFNAJKT_@VYf@]lAk@XSPUP_@d@_Bh@k@N[Vm@r@sAFWL}@DEP@FGj@_HDMPKDM?KCANk@Zk@HGjAC@A?CHAXOLQ@K^}@HID@CB,2,84.8,30.0,147.6,161.0,10.0,,,,,,Run,Wednesday,29,26,6,2022
2,Natation le midi,1578.9,2221,2221,0.0,Swim,Swim,,7389509726,2022-06-29T10:32:28Z,2022-06-29 12:32:28+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,,"[43.57303228229284, 1.3551732804626226]","[43.572319485247135, 1.3548468053340912]",0.711,3.182,True,False,True,155.3,154.8,7874444016,7874444016,garmin_push_9110801579,False,0,0,False,41974409,1,a7389509726,mj}hGytgG?D`@\d@ZND`@l@Dj@Vj@D\Ab@CTe@rBc@bBMv@MhAWlADCNBnBUh@Wn@e@XIb@AREb@ONIGLoA\i@`@MHy@NQFe@ZEFOLg@HGBOiBYqA@g@Fi@XoAFm@Lw@FaAVcBH[Zi@@I,2,34.6,25.0,118.8,142.0,7.0,,,,,,Swim,Wednesday,29,26,6,2022
2,Natation le midi,25.0,142,164,0.0,Swim,Swim,,7389507283,2022-06-29T10:29:34Z,2022-06-29 12:29:34+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,True,False,False,True,only_me,False,,[],[],0.176,0.176,True,False,True,,,7874441313,7874441313,garmin_push_9110798979,False,0,0,False,41974409,1,a7389507283,,2,,,129.9,140.0,0.0,,,,,,Swim,Wednesday,29,26,6,2022
2,Course à pied le midi,2812.2,1031,1039,11.0,Run,Run,,7389507253,2022-06-29T10:10:28Z,2022-06-29 12:10:28+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,g7884744,"[43.56699018739164, 1.3777858950197697]","[43.57230498455465, 1.3548261858522892]",2.728,3.988,True,False,True,165.8,158.0,7874441190,7874441190,garmin_push_9110798774,False,0,0,False,41974409,1,a7389507253,ud|hGcblGECLL@NLV?JBNE?@BCJIV_@l@SN]?s@JO\SRGj@AA@CAJQd@Kn@Cx@Mx@E`AKn@KLOBGDUhASl@UZ]bAKRcAbAKh@Wx@e@l@y@\aAl@SXWd@IJOD]MM@g@hCg@xB{@zFQt@Cj@BNPNPTl@rA^n@f@hAb@j@|@|AlA~An@j@h@j@NLfA~Ab@ZVV`@p@j@~Av@`BF^Rd@LRp@zAl@bAH\DXCr@Ux@o@|A[fAQnAMhBQ`AMhAOh@QrAGTQhAYjAWrACb@Mr@[tAMRU`ACTMXCRAHB\HZPb@BP?L]xASd@AN]`AIJGb@EF[hAGLQJI?SOs@[[USSm@[qB_BeAm@i@OKG{@s@UU,2,84.2,29.0,139.9,156.0,4.0,,,,,,Run,Wednesday,29,26,6,2022
2,Sortie vélo le matin,8507.0,1243,1243,74.0,Ride,Ride,,7385942610,2022-06-29T06:31:15Z,2022-06-29 08:31:15+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,b8725327,"[43.60004355199635, 1.455270303413272]","[43.56546426191926, 1.3769922126084566]",6.844,10.518,True,False,True,166.4,143.2,7870548190,7870548190,garmin_push_9106524603,False,0,0,False,41974409,1,a7385942610,msbiG{~zGVpC?^YxAKt@CCK\EZaArEKn@JhAHjF?xCH~A@rDCj@@zAEh@?h@JbC?|BHhDJdAp@jENrAb@bCDh@A`@N\V`BJxAv@vG|@fJPdAr@rFZhBp@|HFn@JZRhB?vAJtA@d@HdAFZNd@FZXbDRpA`@rE`AzHNx@VvCf@rDPbBNhC?r@@PDLFJJDH@b@CrA`AxC~BlAv@vDrCvEtDpBvAt@d@n@XNZZ`@rArEt@bDhA~Dn@nC@P`A`DjAvEb@tAf@tBrAjEhEhPjAfE`@bBZdAfBxHLlAZ`AFv@Lp@tEhQ@^APCNUn@Cb@Fr@Rp@JPPTVR`Ad@XRbCtDf@n@d@d@j@b@jAt@hDfC`At@TVL\@ZIVWTCF?HFFTHHHfB|BxCbEfAhBP\BP@x@FNHJ\RPVx@vBn@xBz@jC`BvCvBjDVV^n@pFnH`BbCh@`AJj@DL`@ZHLxAlCx@rAzArBjAjBZb@h@d@Vh@d@TRP\pALXZf@~@dA`GvFPVLVNv@DBD@`@APLhGrKPHT?LDBFHvATx@r@r@HR@RCFKE_@w@CI@Gd@_A`@o@d@cAfBoEfAgDDMHGHAHDFFDJBLANuA~DGZBLLTv@p@VXNHt@n@\JFDHR@L,2,79.3,24.0,149.2,178.0,13.0,178.1,668.0,201.0,221.4,True,Ride,Wednesday,29,26,6,2022
2,Séance de musculation le matin,0.0,482,482,0.0,WeightTraining,WeightTraining,,7385832684,2022-06-29T06:09:09Z,2022-06-29 08:09:09+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,True,False,False,True,only_me,False,,[],[],0.0,0.0,True,False,True,,,7870427289,7870427289,garmin_push_9106387232,False,0,0,False,41974409,1,a7385832684,,2,,30.0,79.7,98.0,0.0,,,,,,WeightTraining,Wednesday,29,26,6,2022
2,Yoga le matin,0.0,245,245,0.0,Yoga,Yoga,,7385800859,2022-06-29T06:02:56Z,2022-06-29 08:02:56+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,True,False,False,True,only_me,False,,[],[],0.0,0.0,True,False,True,,,7870392773,7870392773,garmin_push_9106347174,False,0,0,False,41974409,1,a7385800859,,2,,29.0,95.3,106.0,0.0,,,,,,Yoga,Wednesday,29,26,6,2022
2,Sortie vélo dans l'après-midi,8546.5,1355,1387,50.0,Ride,Ride,,7384326032,2022-06-28T15:54:02Z,2022-06-28 17:54:02+02:00,(GMT+01:00) Europe/Paris,7200.0,,,,0,0,0,1,0,False,False,False,True,only_me,False,b8725327,"[43.566246377304196, 1.3820921815931797]","[43.599252216517925, 1.455383962020278]",6.307,11.494,True,False,True,160.2,136.6,7868786715,7868786715,garmin_push_9104758519,False,0,0,False,41974409,1,a7384326032,_`|hGa}lGSKMUI_@?QXwAh@gAH[@UEOYMMNELwAlF{AxEsAbDG`@?hAN`EAh@Gb@@lIAh@AJSU]o@QU?WG{@GYEEa@GQQiDmFcAmB_AuA[WsAuAsBkBiCgCSUYe@Qe@WeAGo@GQME_@HOAi@c@{@cAmAkBaCaEq@qAs@gAIg@IS[a@cBiCsAeBe@w@_AgA_AqAe@q@Qi@[W[g@iD{Fk@kAq@sBq@oCo@gBI[Ao@KWm@m@cBgCuEoGqCeEo@u@q@k@cEaDcAkAk@w@q@kAm@q@o@a@[E}@AIAGEEGBOT_@JCZkARUNGBIs@aCYmAEc@WmAsDsNEk@DSRu@@UCWIOKK]MMIKOm@sBmI}[Wo@I[i@aBsAmEuByHUk@e@eBQw@[eA]uAMu@{@_De@{BqAaESs@AQOWYOi@i@]Sc@c@gCsBiEwCmCqBg@c@k@a@wBcBkCmBWYc@y@Mm@a@qDIgASgBMyAy@oHk@aH_AkHEs@B}@C[[u@EOWoBW}@q@qH_@mCGoAUwBg@mDEo@AaAOsAMw@s@_H]mCUwBQs@MoAg@sCSeBMc@MgBUyAKiAQsDC_ABOA_AS_BAs@Eq@SyAHs@Bo@CwCEIBMEQ@}@Cc@BQ@u@EgDAyCD_@VcAHc@BWCQ@[RsAlAsGV}@,2,73.9,29.0,128.2,147.0,4.0,152.4,573.0,162.0,206.6,True,Ride,Tuesday,28,26,6,2022
